id,mass_spectrometer_id,analysis_type_id,spectrometer_parameters_id,script_id
812,3,7,NULL,NULL
813,3,7,NULL,NULL
814,3,7,NULL,NULL
815,3,3,NULL,NULL
816,3,7,NULL,NULL
817,3,3,NULL,NULL
818,3,3,NULL,NULL
819,3,3,NULL,NULL
820,3,3,NULL,NULL
821,3,3,NULL,NULL
822,3,7,NULL,NULL
823,3,7,NULL,NULL
824,3,3,NULL,NULL
825,3,7,NULL,NULL
826,3,7,NULL,NULL
827,3,3,NULL,NULL
828,3,3,NULL,NULL
829,3,3,NULL,NULL
830,3,7,NULL,NULL
831,3,3,NULL,NULL
832,3,3,NULL,NULL
833,3,3,NULL,NULL
834,3,7,NULL,NULL
835,3,3,NULL,NULL
836,3,3,NULL,NULL
837,3,3,NULL,NULL
838,3,7,NULL,NULL
839,3,3,NULL,NULL
840,3,3,NULL,NULL
841,3,7,NULL,NULL
842,3,3,NULL,NULL
843,3,3,NULL,NULL
844,3,7,NULL,NULL
845,3,7,NULL,NULL
846,3,7,NULL,NULL
847,3,3,NULL,NULL
848,3,7,NULL,NULL
849,3,3,NULL,NULL
850,3,7,NULL,NULL
851,3,3,NULL,NULL
852,3,3,NULL,NULL
853,3,3,NULL,NULL
854,3,7,NULL,NULL
855,3,3,NULL,NULL
856,3,3,NULL,NULL
857,3,7,NULL,NULL
858,3,3,NULL,NULL
859,3,7,NULL,NULL
860,3,7,NULL,NULL
861,3,7,NULL,NULL
862,3,7,NULL,NULL
863,3,7,NULL,NULL
864,3,3,NULL,NULL
865,3,3,NULL,NULL
866,3,3,NULL,NULL
867,3,7,NULL,NULL
868,3,3,NULL,NULL
869,3,3,NULL,NULL
870,3,7,NULL,NULL
871,3,3,NULL,NULL
872,3,7,NULL,NULL
873,3,3,NULL,NULL
874,3,7,NULL,NULL
875,3,7,NULL,NULL
876,3,7,NULL,NULL
877,3,7,NULL,NULL
878,3,3,NULL,NULL
879,3,3,NULL,NULL
880,3,7,NULL,NULL
881,3,7,NULL,NULL
882,3,3,NULL,NULL
883,3,7,NULL,NULL
884,3,3,NULL,NULL
885,3,7,NULL,NULL
886,3,3,NULL,NULL
887,3,7,NULL,NULL
888,3,3,NULL,NULL
889,3,7,NULL,NULL
890,3,7,NULL,NULL
891,3,7,NULL,NULL
892,3,7,NULL,NULL
893,3,7,NULL,NULL
894,3,3,NULL,NULL
895,3,7,NULL,NULL
896,3,7,NULL,NULL
897,3,7,NULL,NULL
898,3,7,NULL,NULL
899,3,7,NULL,NULL
900,3,7,NULL,NULL
901,3,7,NULL,NULL
902,3,7,NULL,NULL
903,3,7,NULL,NULL
904,3,7,NULL,NULL
905,3,7,NULL,NULL
906,3,7,NULL,NULL
907,3,7,NULL,NULL
908,3,7,NULL,NULL
909,3,7,NULL,NULL
910,3,7,NULL,NULL
911,3,7,NULL,NULL
912,3,7,NULL,NULL
913,3,7,NULL,NULL
914,3,7,NULL,NULL
915,3,7,NULL,NULL
916,3,7,NULL,NULL
917,3,7,NULL,NULL
918,3,7,NULL,NULL
919,3,7,NULL,NULL
920,3,7,NULL,NULL
921,3,7,NULL,NULL
922,3,7,NULL,NULL
923,3,7,NULL,NULL
924,3,7,NULL,NULL
925,3,7,NULL,NULL
926,3,7,NULL,NULL
927,3,7,NULL,NULL
928,3,7,NULL,NULL
929,3,7,NULL,NULL
930,3,7,NULL,NULL
931,3,7,NULL,NULL
932,3,7,NULL,NULL
933,3,7,NULL,NULL
934,3,7,NULL,NULL
935,3,7,NULL,NULL
936,3,7,NULL,NULL
937,3,7,NULL,NULL
938,3,7,NULL,NULL
939,3,7,NULL,NULL
940,3,7,NULL,NULL
941,3,7,NULL,NULL
942,3,7,NULL,NULL
943,3,7,NULL,NULL
944,3,7,NULL,NULL
945,3,7,NULL,NULL
946,3,7,NULL,NULL
947,3,7,NULL,NULL
948,3,7,NULL,NULL
949,3,7,NULL,NULL
950,3,7,NULL,NULL
951,3,7,NULL,NULL
952,3,7,NULL,NULL
953,3,7,NULL,NULL
954,3,7,NULL,NULL
955,3,7,NULL,NULL
956,3,7,NULL,NULL
957,3,7,NULL,NULL
958,3,7,NULL,NULL
959,3,7,NULL,NULL
960,3,7,NULL,NULL
961,3,7,NULL,NULL
962,3,7,NULL,NULL
963,3,7,NULL,NULL
964,3,7,NULL,NULL
965,3,3,NULL,NULL
966,3,3,NULL,NULL
967,3,3,NULL,NULL
968,3,7,NULL,NULL
969,3,3,NULL,NULL
970,3,3,NULL,NULL
971,3,3,NULL,NULL
972,3,7,NULL,NULL
973,3,3,NULL,NULL
