id,history_id,detector_id,user_value,user_error,"fit"
334,56,31,1,0,NULL
335,57,31,1,0,NULL
336,57,31,1,0,NULL
337,57,31,1,0,NULL
338,57,31,1,0,NULL
339,57,31,1,0,NULL
340,57,31,1,0,NULL
341,58,31,1,0,NULL
342,58,31,1,0,NULL
343,58,31,1,0,NULL
344,58,31,1,0,NULL
345,58,31,1,0,NULL
346,58,31,1,0,NULL
347,59,31,1,0,NULL
348,59,31,1,0,NULL
349,59,31,1,0,NULL
350,59,31,1,0,NULL
351,59,31,1,0,NULL
352,59,31,1,0,NULL
353,60,31,1,0,NULL
354,60,31,1,0,NULL
355,60,31,1,0,NULL
356,60,31,1,0,NULL
357,60,31,1,0,NULL
358,60,31,1,0,NULL
359,61,31,1,0,NULL
360,61,31,1,0,NULL
361,61,31,1,0,NULL
362,61,31,1,0,NULL
363,61,31,1,0,NULL
364,61,31,1,0,NULL
365,62,31,1,0,NULL
366,62,31,1,0,NULL
367,62,31,1,0,NULL
368,62,31,1,0,NULL
369,62,31,1,0,NULL
370,62,31,1,0,NULL
371,63,31,1,0,NULL
372,63,31,1,0,NULL
373,63,31,1,0,NULL
374,63,31,1,0,NULL
375,63,31,1,0,NULL
376,63,31,1,0,NULL
377,64,31,1,0,NULL
378,64,31,1,0,NULL
379,64,31,1,0,NULL
380,64,31,1,0,NULL
381,64,32,114.7490005493164,0,NULL
382,64,31,1,0,NULL
383,65,31,1,0,NULL
384,65,31,1,0,NULL
385,65,31,1,0,NULL
386,65,31,1,0,NULL
387,65,31,1,0,NULL
388,65,31,1,0,NULL
389,66,31,1,0,NULL
390,66,31,1,0,NULL
391,66,31,1,0,NULL
392,66,31,1,0,NULL
393,66,31,1,0,NULL
394,66,31,1,0,NULL
395,67,31,1,0,NULL
396,67,31,1,0,NULL
397,67,31,1,0,NULL
398,67,31,1,0,NULL
399,67,31,1,0,NULL
400,67,31,1,0,NULL
401,68,31,1,0,NULL
402,68,31,1,0,NULL
403,68,31,1,0,NULL
404,68,31,1,0,NULL
405,68,31,1,0,NULL
406,68,31,1,0,NULL
407,69,31,1,0,NULL
408,69,31,1,0,NULL
409,69,31,1,0,NULL
410,69,31,1,0,NULL
411,69,31,1,0,NULL
412,69,31,1,0,NULL
413,70,31,1,0,NULL
414,70,31,1,0,NULL
415,70,31,1,0,NULL
416,70,31,1,0,NULL
417,70,31,1,0,NULL
418,70,31,1,0,NULL
419,71,31,1,0,NULL
420,71,31,1,0,NULL
421,71,31,1,0,NULL
422,71,31,1,0,NULL
423,71,31,1,0,NULL
424,71,31,1,0,NULL
425,72,31,1,0,NULL
426,72,31,1,0,NULL
427,72,31,1,0,NULL
428,72,31,1,0,NULL
429,72,31,1,0,NULL
430,72,31,1,0,NULL
431,73,31,1,0,NULL
432,73,31,1,0,NULL
433,73,31,1,0,NULL
434,73,31,1,0,NULL
435,73,31,1,0,NULL
436,73,31,1,0,NULL
437,74,31,1,0,NULL
438,74,31,1,0,NULL
439,74,31,1,0,NULL
440,74,31,1,0,NULL
441,74,31,1,0,NULL
442,74,31,1,0,NULL
443,75,31,1,0,NULL
444,75,31,1,0,NULL
445,75,31,1,0,NULL
446,75,31,1,0,NULL
447,75,31,1,0,NULL
448,75,31,1,0,NULL
449,76,31,1,0,NULL
450,76,31,1,0,NULL
451,76,31,1,0,NULL
452,76,31,1,0,NULL
453,76,31,1,0,NULL
454,76,31,1,0,NULL
455,77,31,1,0,NULL
456,77,31,1,0,NULL
457,77,31,1,0,NULL
458,77,31,1,0,NULL
459,77,31,1,0,NULL
460,77,31,1,0,NULL
461,78,31,1,0,NULL
462,78,31,1,0,NULL
463,78,31,1,0,NULL
464,78,31,1,0,NULL
465,78,31,1,0,NULL
466,78,31,1,0,NULL
467,79,31,1,0,NULL
468,79,31,1,0,NULL
469,79,31,1,0,NULL
470,79,31,1,0,NULL
471,79,31,1,0,NULL
472,79,31,1,0,NULL
473,80,31,1,0,NULL
474,80,31,1,0,NULL
475,80,31,1,0,NULL
476,80,31,1,0,NULL
477,80,31,1,0,NULL
478,80,31,1,0,NULL
479,81,31,1,0,NULL
480,81,31,1,0,NULL
481,81,31,1,0,NULL
482,81,31,1,0,NULL
483,81,31,1,0,NULL
484,81,31,1,0,NULL
485,82,31,1,0,NULL
486,82,31,1,0,NULL
487,82,31,1,0,NULL
488,82,31,1,0,NULL
489,82,32,116.13099670410156,0,NULL
490,82,31,1,0,NULL
491,83,31,1,0,NULL
492,83,31,1,0,NULL
493,83,31,1,0,NULL
494,83,31,1,0,NULL
495,83,31,1,0,NULL
496,83,31,1,0,NULL
497,84,31,1,0,NULL
498,84,31,1,0,NULL
499,84,31,1,0,NULL
500,84,31,1,0,NULL
501,84,31,1,0,NULL
502,84,31,1,0,NULL
503,85,31,1,0,NULL
504,85,31,1,0,NULL
505,85,31,1,0,NULL
506,85,31,1,0,NULL
507,85,31,1,0,NULL
508,85,31,1,0,NULL
509,86,31,1,0,NULL
510,86,31,1,0,NULL
511,86,31,1,0,NULL
512,86,31,1,0,NULL
513,86,31,1,0,NULL
514,86,31,1,0,NULL
515,87,31,1,0,NULL
516,87,31,1,0,NULL
517,87,31,1,0,NULL
518,87,31,1,0,NULL
519,87,31,1,0,NULL
520,87,31,1,0,NULL
521,88,31,1,0,NULL
522,88,31,1,0,NULL
523,88,31,1,0,NULL
524,88,31,1,0,NULL
525,88,31,1,0,NULL
526,88,31,1,0,NULL
527,89,31,1,0,NULL
528,89,31,1,0,NULL
529,89,31,1,0,NULL
530,89,31,1,0,NULL
531,89,31,1,0,NULL
532,89,31,1,0,NULL
533,90,31,1,0,NULL
534,90,31,1,0,NULL
535,90,31,1,0,NULL
536,90,31,1,0,NULL
537,90,31,1,0,NULL
538,90,31,1,0,NULL
539,91,31,1,0,NULL
540,91,31,1,0,NULL
541,91,31,1,0,NULL
542,91,31,1,0,NULL
543,91,31,1,0,NULL
544,91,31,1,0,NULL
545,92,31,1,0,NULL
546,92,31,1,0,NULL
547,92,31,1,0,NULL
548,92,31,1,0,NULL
549,92,31,1,0,NULL
550,92,31,1,0,NULL
551,93,31,1,0,NULL
552,93,31,1,0,NULL
553,93,31,1,0,NULL
554,93,31,1,0,NULL
555,93,31,1,0,NULL
556,93,31,1,0,NULL
557,94,31,1,0,NULL
558,94,31,1,0,NULL
559,94,31,1,0,NULL
560,94,31,1,0,NULL
561,94,31,1,0,NULL
562,94,31,1,0,NULL
563,95,31,1,0,NULL
564,95,31,1,0,NULL
565,95,31,1,0,NULL
566,95,31,1,0,NULL
567,95,31,1,0,NULL
568,95,31,1,0,NULL
569,96,31,1,0,NULL
570,96,31,1,0,NULL
571,96,31,1,0,NULL
572,96,31,1,0,NULL
573,96,31,1,0,NULL
574,96,31,1,0,NULL
575,97,31,1,0,NULL
576,97,31,1,0,NULL
577,97,31,1,0,NULL
578,97,31,1,0,NULL
579,97,32,117.64600372314453,0,NULL
580,97,31,1,0,NULL
581,98,31,1,0,NULL
582,98,31,1,0,NULL
583,98,31,1,0,NULL
584,98,31,1,0,NULL
585,98,31,1,0,NULL
586,98,31,1,0,NULL
587,99,31,1,0,NULL
588,99,31,1,0,NULL
589,99,31,1,0,NULL
590,99,31,1,0,NULL
591,99,31,1,0,NULL
592,99,31,1,0,NULL
593,100,31,1,0,NULL
594,100,31,1,0,NULL
595,100,31,1,0,NULL
596,100,31,1,0,NULL
597,100,31,1,0,NULL
598,100,31,1,0,NULL
599,101,31,1,0,NULL
600,101,31,1,0,NULL
601,101,31,1,0,NULL
602,101,31,1,0,NULL
603,101,31,1,0,NULL
604,101,31,1,0,NULL
605,102,31,1,0,NULL
606,102,31,1,0,NULL
607,102,31,1,0,NULL
608,102,31,1,0,NULL
609,102,32,115.69200134277344,0,NULL
610,102,31,1,0,NULL
611,103,31,1,0,NULL
612,103,31,1,0,NULL
613,103,31,1,0,NULL
614,103,31,1,0,NULL
615,103,31,1,0,NULL
616,103,31,1,0,NULL
617,104,31,1,0,NULL
618,104,31,1,0,NULL
619,104,31,1,0,NULL
620,104,31,1,0,NULL
621,104,31,1,0,NULL
622,104,31,1,0,NULL
623,105,31,1,0,NULL
624,105,31,1,0,NULL
625,105,31,1,0,NULL
626,105,31,1,0,NULL
627,105,31,1,0,NULL
628,105,31,1,0,NULL
629,106,31,1,0,NULL
630,106,31,1,0,NULL
631,106,31,1,0,NULL
632,106,31,1,0,NULL
633,106,31,1,0,NULL
634,106,31,1,0,NULL
635,107,31,1,0,NULL
636,107,31,1,0,NULL
637,107,31,1,0,NULL
638,107,31,1,0,NULL
639,107,31,1,0,NULL
640,107,31,1,0,NULL
641,108,31,1,0,NULL
642,108,31,1,0,NULL
643,108,31,1,0,NULL
644,108,31,1,0,NULL
645,108,32,114.7959976196289,0,NULL
646,108,31,1,0,NULL
647,109,31,1,0,NULL
648,109,31,1,0,NULL
649,109,31,1,0,NULL
650,109,31,1,0,NULL
651,109,32,115.302001953125,0,NULL
652,109,31,1,0,NULL
653,110,31,1,0,NULL
654,110,31,1,0,NULL
655,110,31,1,0,NULL
656,110,31,1,0,NULL
657,110,31,1,0,NULL
658,110,31,1,0,NULL
659,111,31,1,0,NULL
660,111,31,1,0,NULL
661,111,31,1,0,NULL
662,111,31,1,0,NULL
663,111,31,1,0,NULL
664,111,31,1,0,NULL
665,112,31,1,0,NULL
