id,intercalibration_id,ic_analysis_id
400,26970,4584
401,26970,4585
402,26970,4610
403,26970,4626
404,26970,4640
405,26970,4656
406,26970,4660
407,26970,4662
408,26970,5186
409,26970,5203
410,26970,5213
411,26970,5231
412,26970,5247
413,26970,5263
414,26970,5282
415,26971,4578
416,26971,4582
417,26971,4583
418,26971,4584
419,26971,4585
420,26971,4610
421,26971,4626
422,26971,4640
423,26971,4656
424,26971,4660
425,26971,4662
426,26971,5186
427,26971,5203
428,26971,5213
429,26971,5231
430,26971,5247
431,26971,5263
432,26971,5282
433,26972,4578
434,26972,4582
435,26972,4583
436,26972,4584
437,26972,4585
438,26972,4610
439,26972,4626
440,26972,4640
441,26972,4656
442,26972,4660
443,26972,4662
444,26972,5186
445,26972,5203
446,26972,5213
447,26972,5231
448,26972,5247
449,26972,5263
450,26972,5282
451,26973,4578
452,26973,4582
453,26973,4583
454,26973,4584
455,26973,4585
456,26973,4610
457,26973,4626
458,26973,4640
459,26973,4656
460,26973,4660
461,26973,4662
462,26973,5186
463,26973,5203
464,26973,5213
465,26973,5231
466,26973,5247
467,26973,5263
468,26973,5282
469,26974,4578
470,26974,4582
471,26974,4583
472,26974,4584
473,26974,4585
474,26974,4610
475,26974,4626
476,26974,4640
477,26974,4656
478,26974,4660
479,26974,4662
480,26974,5186
481,26974,5203
482,26974,5213
483,26974,5231
484,26974,5247
485,26974,5263
486,26974,5282
487,26975,4578
488,26975,4582
489,26975,4583
490,26975,4584
491,26975,4585
492,26975,4610
493,26975,4626
494,26975,4640
495,26975,4656
496,26975,4660
497,26975,4662
498,26975,5186
499,26975,5203
500,26975,5213
501,26975,5231
502,26975,5247
503,26975,5263
504,26975,5282
505,26976,4578
506,26976,4582
507,26976,4583
508,26976,4584
509,26976,4585
510,26976,4610
511,26976,4626
512,26976,4640
513,26976,4656
514,26976,4660
515,26976,4662
516,26976,5186
517,26976,5203
518,26976,5213
519,26976,5231
520,26976,5247
521,26976,5263
522,26976,5282
523,26977,4578
524,26977,4582
525,26977,4583
526,26977,4584
527,26977,4585
528,26977,4610
529,26977,4626
530,26977,4640
531,26977,4656
532,26977,4660
533,26977,4662
534,26977,5186
535,26977,5203
536,26977,5213
537,26977,5231
538,26977,5247
539,26977,5263
540,26977,5282
541,26978,4578
542,26978,4582
543,26978,4583
544,26978,4584
545,26978,4585
546,26978,4610
547,26978,4626
548,26978,4640
549,26978,4656
550,26978,4660
551,26978,4662
552,26978,5186
553,26978,5203
554,26978,5213
555,26978,5231
556,26978,5247
557,26978,5263
558,26978,5282
559,26979,4578
560,26979,4582
561,26979,4583
562,26979,4584
563,26979,4585
564,26979,4610
565,26979,4626
566,26979,4640
567,26979,4656
568,26979,4660
569,26979,4662
570,26979,5186
571,26979,5203
572,26979,5213
573,26979,5231
574,26979,5247
575,26979,5263
576,26979,5282
577,26980,4578
578,26980,4582
579,26980,4583
580,26980,4584
581,26980,4585
582,26980,4610
583,26980,4626
584,26980,4640
585,26980,4656
586,26980,4660
587,26980,4662
588,26980,5186
589,26980,5203
590,26980,5213
591,26980,5231
592,26980,5247
593,26980,5263
594,26980,5282
595,26981,4578
596,26981,4582
597,26981,4583
598,26981,4584
599,26981,4585
600,26981,4610
601,26981,4626
602,26981,4640
603,26981,4656
604,26981,4660
605,26981,4662
606,26981,5186
607,26981,5203
608,26981,5213
609,26981,5231
610,26981,5247
611,26981,5263
612,26981,5282
613,26982,4578
614,26982,4582
615,26982,4583
616,26982,4584
617,26982,4585
618,26982,4610
619,26982,4626
620,26982,4640
621,26982,4656
622,26982,4660
623,26982,4662
624,26982,5186
625,26982,5203
626,26982,5213
627,26982,5231
628,26982,5247
629,26982,5263
630,26982,5282
631,26983,4578
632,26983,4582
633,26983,4583
634,26983,4584
635,26983,4585
636,26983,4610
637,26983,4626
638,26983,4640
639,26983,4656
640,26983,4660
641,26983,4662
642,26983,5186
643,26983,5203
644,26983,5213
645,26983,5231
646,26983,5247
647,26983,5263
648,26983,5282
649,26984,4578
650,26984,4582
651,26984,4583
652,26984,4584
653,26984,4585
654,26984,4610
655,26984,4626
656,26984,4640
657,26984,4656
658,26984,4660
659,26984,4662
660,26984,5186
661,26984,5203
662,26984,5213
663,26984,5231
664,26984,5247
