id,history_id,disc,disc_error,detector_id
788,788,1.004,0.001,31
789,789,1.004,0.001,31
790,790,1.004,0.001,31
791,791,1.004,0.001,31
792,792,1.004,0.001,31
793,793,1.004,0.001,31
794,794,1.004,0.001,31
795,795,1.004,0.001,31
796,796,1.004,0.001,31
797,797,1.004,0.001,31
798,798,1.004,0.001,31
799,799,1.004,0.001,31
800,800,1.004,0.001,31
801,801,1.004,0.001,31
802,802,1.004,0.001,31
803,803,1.004,0.001,31
804,804,1.004,0.001,31
805,805,1.004,0.001,31
806,806,1.004,0.001,31
807,807,1.004,0.001,31
808,808,1.004,0.001,31
809,809,1.004,0.001,31
810,810,1.004,0.001,31
811,811,1.004,0.001,31
812,812,1.004,0.001,31
813,813,1.004,0.001,31
814,814,1.004,0.001,31
815,815,1.004,0.001,31
816,816,1.004,0.001,31
817,817,1.004,0.001,31
818,818,1.004,0.001,31
819,819,1.004,0.001,31
820,820,1.004,0.001,31
821,821,1.004,0.001,31
822,822,1.004,0.001,31
823,823,1.004,0.001,31
824,824,1.004,0.001,31
825,825,1.004,0.001,31
826,826,1.004,0.001,31
827,827,1.004,0.001,31
828,828,1.004,0.001,31
829,829,1.004,0.001,31
830,830,1.004,0.001,31
831,831,1.004,0.001,31
832,832,1.004,0.001,31
833,833,1.004,0.001,31
834,834,1.004,0.001,31
835,835,1.004,0.001,31
836,836,1.004,0.001,31
837,837,1.004,0.001,31
838,838,1.004,0.001,31
839,839,1.004,0.001,31
840,840,1.004,0.001,31
841,841,1.004,0.001,31
842,842,1.004,0.001,31
843,843,1.004,0.001,31
844,844,1.004,0.001,31
845,845,1.004,0.001,31
846,846,1.004,0.001,31
847,847,1.004,0.001,31
848,848,1.004,0.001,31
849,849,1.004,0.001,31
850,850,1.004,0.001,31
851,851,1.004,0.001,31
852,852,1.004,0.001,31
853,853,1.004,0.001,31
854,854,1.004,0.001,31
855,855,1.004,0.001,31
856,856,1.004,0.001,31
857,857,1.004,0.001,31
858,858,1.004,0.001,31
859,859,1.004,0.001,31
860,860,1.004,0.001,31
861,861,1.004,0.001,31
862,862,1.004,0.001,31
863,863,1.004,0.001,31
864,864,1.004,0.001,31
865,865,1.004,0.001,31
866,866,1.004,0.001,31
867,867,1.004,0.001,31
868,868,1.004,0.001,31
869,869,1.004,0.001,31
870,870,1.004,0.001,31
871,871,1.004,0.001,31
872,872,1.004,0.001,31
873,873,1.004,0.001,31
874,874,1.004,0.001,31
875,875,1.004,0.001,31
876,876,1.004,0.001,31
877,877,1.004,0.001,31
878,878,1.004,0.001,31
879,879,1.004,0.001,31
880,880,1.004,0.001,31
881,881,1.004,0.001,31
882,882,1.004,0.001,31
883,883,1.004,0.001,31
884,884,1.004,0.001,31
885,885,1.004,0.001,31
886,886,1.004,0.001,31
887,887,1.004,0.001,31
888,888,1.004,0.001,31
889,889,1.004,0.001,31
890,890,1.004,0.001,31
891,891,1.004,0.001,31
892,892,1.004,0.001,31
893,893,1.004,0.001,31
894,894,1.004,0.001,31
895,895,1.004,0.001,31
896,896,1.004,0.001,31
897,897,1.004,0.001,31
898,898,1.004,0.001,31
899,899,1.004,0.001,31
900,900,1.004,0.001,31
901,901,1.004,0.001,31
902,902,1.004,0.001,31
903,903,1.004,0.001,31
904,904,1.004,0.001,31
905,905,1.004,0.001,31
906,906,1.004,0.001,31
907,907,1.004,0.001,31
908,908,1.004,0.001,31
909,909,1.004,0.001,31
910,910,1.004,0.001,31
911,911,1.004,0.001,31
912,912,1.004,0.001,31
913,913,1.004,0.001,31
914,914,1.004,0.001,31
915,915,1.004,0.001,31
916,916,1.004,0.001,31
917,917,1.004,0.001,31
918,918,1.004,0.001,31
919,919,1.004,0.001,31
920,920,1.004,0.001,31
921,921,1.004,0.001,31
922,922,1.004,0.001,31
923,923,1.004,0.001,31
924,924,1.004,0.001,31
925,925,1.004,0.001,31
926,926,1.004,0.001,31
927,927,1.004,0.001,31
928,928,1.004,0.001,31
929,929,1.004,0.001,31
930,930,1.004,0.001,31
931,931,1.004,0.001,31
932,932,1.004,0.001,31
933,933,1.004,0.001,31
934,934,1.004,0.001,31
935,935,1.004,0.001,31
936,936,1.004,0.001,31
937,937,1.004,0.001,31
938,938,1.004,0.001,31
939,939,1.004,0.001,31
940,940,1.004,0.001,31
941,941,1.004,0.001,31
942,942,1.004,0.001,31
943,943,1.004,0.001,31
944,944,1.004,0.001,31
945,945,1.004,0.001,31
946,946,1.004,0.001,31
947,947,1.004,0.001,31
948,948,1.004,0.001,31
949,949,1.004,0.001,31
950,950,1.004,0.001,31
951,951,1.004,0.001,31
952,952,1.004,0.001,31
953,953,1.004,0.001,31
954,954,1.004,0.001,31
955,955,1.004,0.001,31
956,956,1.004,0.001,31
957,957,1.004,0.001,31
958,958,1.004,0.001,31
959,959,1.004,0.001,31
960,960,1.004,0.001,31
961,961,1.004,0.001,31
962,962,1.004,0.001,31
963,963,1.004,0.001,31
964,964,1.004,0.001,31
965,965,1.004,0.001,31
966,966,1.004,0.001,31
967,967,1.004,0.001,31
968,968,1.004,0.001,31
969,969,1.004,0.001,31
970,970,1.004,0.001,31
971,971,1.004,0.001,31
972,972,1.004,0.001,31
973,973,1.004,0.001,31
974,974,1.004,0.001,31
975,975,1.004,0.001,31
976,976,1.004,0.001,31
977,977,1.004,0.001,31
978,978,1.004,0.001,31
979,979,1.004,0.001,31
980,980,1.004,0.001,31
981,981,1.004,0.001,31
982,982,1.004,0.001,31
983,983,1.004,0.001,31
984,984,1.004,0.001,31
985,985,1.004,0.001,31
986,986,1.004,0.001,31
987,987,1.004,0.001,31
988,988,1.004,0.001,31
989,989,1.004,0.001,31
990,990,1.004,0.001,31
991,991,1.004,0.001,31
992,992,1.004,0.001,31
993,993,1.004,0.001,31
994,994,1.004,0.001,31
