id,history_id,"age_kind",age,age_err,mswd,wtd_kca,wtd_kca_err
68,68,"Plateau",11.9823,0.0231481,0.386472,0.224119,0.000905207
69,69,"Integrated",12.3433,0.0546258,26.3951,0.325802,0.00075171
70,70,"Integrated",11.7485,0.0500313,27.7461,0.354362,0.00113439
71,71,"Plateau",11.448,0.0221508,1.75631,0.805648,0.00353475
72,72,"Plateau",11.5286,0.026861,1.07404,0.267119,0.000899081
73,73,"Integrated",11.0618,0.174463,17.0489,0.0241512,0.000170526
74,74,"Plateau",10.9968,0.169249,1.76153,0.0405561,0.000161147
75,75,"Integrated",10.7921,0.0776197,50.4956,0.0655931,0.00027388
76,76,"Plateau",10.6168,0.0669956,1.29307,0.0216993,0.000109871
77,77,"Plateau",8.0656,0.0729001,2.22365,0.141829,0.000697899
78,78,"Plateau",9.35639,0.270015,1.17022,0.1584,0.000580676
79,79,"Plateau",9.3008,0.025752,0.588442,0.160215,0.000702781
80,80,"Plateau",8.18295,0.0126243,1.5959,1.05253,0.00295522
81,81,"Plateau",7.24461,0.037505,1.93135,0.0905095,0.00029091
82,82,"Plateau",9.49893,0.145665,1.22188,0.0976281,0.000534826
83,83,"Plateau",9.5202,0.0698111,0.653509,0.180281,0.000597849
84,84,"Plateau",10.4536,0.35071,0.491685,0.0392218,0.000222801
85,85,"Integrated",10.5899,0.0400222,24.4513,0.176662,0.000634062
86,86,"Integrated",7.33538,0.205544,20.2704,0.0787346,0.000313465
87,87,"Plateau",8.91113,0.0654383,1.17688,0.154547,0.000502825
88,88,"Plateau",9.7217,0.0596056,1.49354,0.0107358,0.000237489
106,108,"Integrated",1.70512,0.0985648,13.1822,0.285227,0.000620197
115,118,"Integrated",8.12542,0.156849,21.8387,0.284904,0.00109746
116,119,"Plateau",11.3872,0.478935,3.14476,0.534795,0.00297366
117,120,"Integrated",11.5103,0.322409,8.85314,0.388371,0.00155177
118,121,"Plateau",9.56786,0.0323984,0.996985,0.253558,0.000909487
119,122,"Plateau",7.48276,0.0774411,1.65907,0.0676708,0.000509138
120,123,"Plateau",7.50879,0.0798526,2.06162,0.267509,0.000998302
121,124,"Integrated",6.9119,0.0481848,40.8066,0.0916062,0.000542263
122,125,"Plateau",7.57055,0.109206,0.856953,0.0766452,0.000434495
123,126,"Plateau",5.37129,0.0768068,2.08333,0.384156,0.00143099
124,127,"Plateau",7.02891,0.143176,1.7601,0.240551,0.00151136
125,128,"Integrated",6.49519,0.0668953,15.3008,0.201899,0.00121085
126,129,"Integrated",5.41038,0.0814941,16.2747,0.34573,0.00144864
127,130,"Plateau",4.40286,0.258594,2.29345,0.0790774,0.000327655
128,131,"Plateau",4.88629,0.0859502,1.16879,0.0779437,0.000456297
129,132,"Plateau",7.42263,0.124162,0.632701,0.089064,0.000625557
130,133,"Plateau",6.93435,0.166541,0.565048,0.0489639,0.000434597
131,134,"Plateau",6.8229,0.240777,0.282202,0.31497,0.00117327
132,135,"Plateau",6.52848,0.167618,2.41535,0.283232,0.00118841
133,136,"Plateau",10.5918,0.0301693,1.99971,0.824485,0.00464508
134,137,"Plateau",9.79784,0.0163061,0.933766,1.93063,0.00988278
135,138,"Integrated",7.20966,0.106852,10.0671,0.441951,0.00247366
136,139,"Integrated",6.50919,0.0746028,27.7631,0.214437,0.000987604
137,140,"Integrated",10.1218,0.0282749,273.93,0.0423905,0.00000788428
138,141,"Integrated",4.70836,0.0137847,221.265,0.0294861,0.00000578268
139,142,"Integrated",2.23956,0.0111776,34.9692,0.0644114,0.00000952196
140,143,"Integrated",8.27155,0.0293098,21.1893,0.0282558,0.0000171028
141,144,"Integrated",12.5463,0.0329031,2250.12,0.39701,0.000105477
142,145,"Plateau",10.1541,0.0570967,1.41004,0.0439249,0.0000193547
143,146,"Plateau",7.47084,0.0267009,0.615463,0.0889106,0.000052718
144,147,"Plateau",9.6248,0.0147959,1.56191,0.266345,0.000271212
145,148,"Integrated",28.2175,0.0959119,0,66.0705,2.81461
146,149,"Integrated",28.3194,0.0929237,0,71.3333,1.61245
147,150,"Integrated",28.4104,0.0758151,0,113.409,23.6041
148,151,"Integrated",28.5029,0.101011,2.51657,81.6247,3.57619
149,152,"Plateau",9.04812,0.123054,1.51848,0.013269,0.0000915709
150,153,"Plateau",9.04812,0.123054,1.51848,0.013269,0.0000915709
151,154,"Plateau",9.41585,0.0259889,1.54846,0.0407219,0.000259983
152,155,"Plateau",8.99598,0.107272,3.07987,0.0721676,0.000248224
153,156,"Integrated",8.14191,8.12369,103.752,0.0262733,0.000182063
154,157,"Plateau",8.87304,0.151317,0.187824,0.0262713,0.00012667
155,158,"Integrated",8.05847,8.0418,8.42913,0.0202087,0.0000799223
156,159,"Plateau",9.2174,0.0203552,0.313947,0.441224,0.000965153
157,160,"Plateau",9.11693,0.022692,3.09056,0.770409,0.00154217
158,161,"Plateau",8.73825,0.0674054,0.77403,0.0787799,0.00022927
159,162,"Integrated",8.00693,7.98948,57.8571,0.0422557,0.000132824
160,163,"Integrated",11.3059,11.2718,22.9947,0.0620709,0.000184563
161,164,"Plateau",9.24096,0.104604,1.79074,0.030416,0.000155788
162,165,"Plateau",10.3449,0.0183977,0.825258,0.278287,0.000716726
163,166,"Integrated",8.5359,8.51598,6.48038,0.0709412,0.000113865
164,167,"Plateau",9.80479,0.0218976,0.289621,0.103284,0.000265809
165,168,"Plateau",7.94137,0.0337309,1.92349,0.0180205,0.0000974419
166,169,"Plateau",9.4645,0.03395,1.91535,0.00583383,0.000182984
167,170,"Plateau",8.52415,0.0250057,1.11232,0.105372,0.00040621
168,171,"Plateau",7.98947,0.0600882,1.15872,0.0087669,0.000148924
169,172,"Integrated",9.58814,0.0571544,6.40313,0.0488219,0.000479187
170,173,"Plateau",9.08803,0.0167702,0.746622,0.0186822,0.0000595747
171,174,"Plateau",9.47497,0.0256528,0.497435,0.00620319,0.0000252212
172,175,"Plateau",9.04812,0.123054,1.51848,0.013269,0.0000915709
173,176,"Plateau",9.41585,0.0259889,1.54846,0.0407219,0.000259983
174,177,"Plateau",8.99598,0.107272,3.07987,0.0721676,0.000248224
175,178,"Integrated",8.14191,8.12369,103.752,0.0262733,0.000182063
176,179,"Plateau",8.87304,0.151317,0.187824,0.0262713,0.00012667
177,180,"Integrated",8.05847,8.0418,8.42913,0.0202087,0.0000799223
178,181,"Plateau",9.2174,0.0203552,0.313947,0.441224,0.000965153
179,182,"Plateau",9.11693,0.022692,3.09056,0.770409,0.00154217
180,183,"Plateau",8.73825,0.0674054,0.77403,0.0787799,0.00022927
181,184,"Integrated",8.00693,7.98948,57.8571,0.0422557,0.000132824
182,185,"Integrated",11.3059,11.2718,22.9947,0.0620709,0.000184563
