id,history_id,user_value,user_error,use_set,"isotope","fit"
261,53,0.016354,0.000134287,NULL,"Ar40","preceding"
262,53,0.000327009,0.0000195385,NULL,"Ar39","preceding"
263,53,0.0000364367,0.00000952572,NULL,"Ar38","preceding"
264,53,0.000185476,0.0000119505,NULL,"Ar37","preceding"
265,53,0.000192345,0.0000126279,NULL,"Ar36","preceding"
266,54,0.016354,0.000134287,NULL,"Ar40","preceding"
267,54,0.000327009,0.0000195385,NULL,"Ar39","preceding"
268,54,0.0000364367,0.00000952572,NULL,"Ar38","preceding"
269,54,0.000185476,0.0000119505,NULL,"Ar37","preceding"
270,54,0.000192345,0.0000126279,NULL,"Ar36","preceding"
271,55,0.016354,0.000134287,NULL,"Ar40","preceding"
272,55,0.000327009,0.0000195385,NULL,"Ar39","preceding"
273,55,0.0000364367,0.00000952572,NULL,"Ar38","preceding"
274,55,0.000185476,0.0000119505,NULL,"Ar37","preceding"
275,55,0.000192345,0.0000126279,NULL,"Ar36","preceding"
276,56,0.00997178,0.000104683,NULL,"Ar40","preceding"
277,56,0.0000466681,0.0000144222,NULL,"Ar39","preceding"
278,56,0.0000113345,0.00000717935,NULL,"Ar38","preceding"
279,56,0.000134379,0.0000114676,NULL,"Ar37","preceding"
280,56,0.000156639,0.0000115261,NULL,"Ar36","preceding"
281,57,0.00997178,0.000104683,NULL,"Ar40","preceding"
282,57,0.0000466681,0.0000144222,NULL,"Ar39","preceding"
283,57,0.0000113345,0.00000717935,NULL,"Ar38","preceding"
284,57,0.000134379,0.0000114676,NULL,"Ar37","preceding"
285,57,0.000156639,0.0000115261,NULL,"Ar36","preceding"
286,58,0.00997178,0.000104683,NULL,"Ar40","preceding"
287,58,0.0000466681,0.0000144222,NULL,"Ar39","preceding"
288,58,0.0000113345,0.00000717935,NULL,"Ar38","preceding"
289,58,0.000134379,0.0000114676,NULL,"Ar37","preceding"
290,58,0.000156639,0.0000115261,NULL,"Ar36","preceding"
291,59,0.00997178,0.000104683,NULL,"Ar40","preceding"
292,59,0.0000466681,0.0000144222,NULL,"Ar39","preceding"
293,59,0.0000113345,0.00000717935,NULL,"Ar38","preceding"
294,59,0.000134379,0.0000114676,NULL,"Ar37","preceding"
295,59,0.000156639,0.0000115261,NULL,"Ar36","preceding"
296,60,0.00961938,0.000108343,NULL,"Ar40","preceding"
297,60,0.0000498527,0.0000176141,NULL,"Ar39","preceding"
298,60,0.0000180042,0.00000696985,NULL,"Ar38","preceding"
299,60,0.000175378,0.0000102654,NULL,"Ar37","preceding"
300,60,0.000118606,0.0000134608,NULL,"Ar36","preceding"
301,61,0.00961938,0.000108343,NULL,"Ar40","preceding"
302,61,0.0000498527,0.0000176141,NULL,"Ar39","preceding"
303,61,0.0000180042,0.00000696985,NULL,"Ar38","preceding"
304,61,0.000175378,0.0000102654,NULL,"Ar37","preceding"
305,61,0.000118606,0.0000134608,NULL,"Ar36","preceding"
306,62,0.00961938,0.000108343,NULL,"Ar40","preceding"
307,62,0.0000498527,0.0000176141,NULL,"Ar39","preceding"
308,62,0.0000180042,0.00000696985,NULL,"Ar38","preceding"
309,62,0.000175378,0.0000102654,NULL,"Ar37","preceding"
310,62,0.000118606,0.0000134608,NULL,"Ar36","preceding"
311,63,0.00961938,0.000108343,NULL,"Ar40","preceding"
312,63,0.0000498527,0.0000176141,NULL,"Ar39","preceding"
313,63,0.0000180042,0.00000696985,NULL,"Ar38","preceding"
314,63,0.000175378,0.0000102654,NULL,"Ar37","preceding"
315,63,0.000118606,0.0000134608,NULL,"Ar36","preceding"
316,64,0.0100708,0.000139525,NULL,"Ar40","preceding"
317,64,0.0000449994,0.0000148382,NULL,"Ar39","preceding"
318,64,0.00000929035,0.00000786885,NULL,"Ar38","preceding"
319,64,0.000177854,0.0000110726,NULL,"Ar37","preceding"
320,64,0.00010595,0.0000119042,NULL,"Ar36","preceding"
321,65,0.0100708,0.000139525,NULL,"Ar40","preceding"
322,65,0.0000449994,0.0000148382,NULL,"Ar39","preceding"
323,65,0.00000929035,0.00000786885,NULL,"Ar38","preceding"
324,65,0.000177854,0.0000110726,NULL,"Ar37","preceding"
325,65,0.00010595,0.0000119042,NULL,"Ar36","preceding"
326,66,0.00893858,0.0000609722,NULL,"Ar40","preceding"
327,66,0.0000147041,0.00000991902,NULL,"Ar39","preceding"
328,66,0.0000113215,0.00000457537,NULL,"Ar38","preceding"
329,66,0.000104376,0.00000957418,NULL,"Ar37","preceding"
330,66,0.0000823442,0.0000113769,NULL,"Ar36","preceding"
331,67,0.00893858,0.0000609722,NULL,"Ar40","preceding"
332,67,0.0000147041,0.00000991902,NULL,"Ar39","preceding"
333,67,0.0000113215,0.00000457537,NULL,"Ar38","preceding"
334,67,0.000104376,0.00000957418,NULL,"Ar37","preceding"
335,67,0.0000823442,0.0000113769,NULL,"Ar36","preceding"
336,68,0.00729502,0.0000728543,NULL,"Ar40","preceding"
337,68,0.0000138577,0.0000153865,NULL,"Ar39","preceding"
338,68,0.0000176316,0.00000616665,NULL,"Ar38","preceding"
339,68,0.0000859549,0.00000886349,NULL,"Ar37","preceding"
340,68,0.000042268,0.00000959583,NULL,"Ar36","preceding"
341,69,0.00753715,0.0000995902,NULL,"Ar40","preceding"
342,69,0.00000904335,0.000014961,NULL,"Ar39","preceding"
343,69,0.0000198543,0.00000458222,NULL,"Ar38","preceding"
344,69,0.000114722,0.00000638206,NULL,"Ar37","preceding"
345,69,0.0000715431,0.00000980005,NULL,"Ar36","preceding"
346,70,0.00753715,0.0000995902,NULL,"Ar40","preceding"
347,70,0.00000904335,0.000014961,NULL,"Ar39","preceding"
348,70,0.0000198543,0.00000458222,NULL,"Ar38","preceding"
349,70,0.000114722,0.00000638206,NULL,"Ar37","preceding"
350,70,0.0000715431,0.00000980005,NULL,"Ar36","preceding"
351,71,0.00753715,0.0000995902,NULL,"Ar40","preceding"
352,71,0.00000904335,0.000014961,NULL,"Ar39","preceding"
353,71,0.0000198543,0.00000458222,NULL,"Ar38","preceding"
354,71,0.000114722,0.00000638206,NULL,"Ar37","preceding"
355,71,0.0000715431,0.00000980005,NULL,"Ar36","preceding"
356,72,0.00753715,0.0000995902,NULL,"Ar40","preceding"
357,72,0.00000904335,0.000014961,NULL,"Ar39","preceding"
358,72,0.0000198543,0.00000458222,NULL,"Ar38","preceding"
359,72,0.000114722,0.00000638206,NULL,"Ar37","preceding"
360,72,0.0000715431,0.00000980005,NULL,"Ar36","preceding"
361,73,0.00781474,0.0000870407,NULL,"Ar40","preceding"
362,73,0.0000561597,0.0000164664,NULL,"Ar39","preceding"
363,73,0.00000684146,0.00000578529,NULL,"Ar38","preceding"
364,73,0.000123609,0.00000625312,NULL,"Ar37","preceding"
365,73,0.0000691977,0.0000107779,NULL,"Ar36","preceding"
366,74,0.00781474,0.0000870407,NULL,"Ar40","preceding"
367,74,0.0000561597,0.0000164664,NULL,"Ar39","preceding"
368,74,0.00000684146,0.00000578529,NULL,"Ar38","preceding"
369,74,0.000123609,0.00000625312,NULL,"Ar37","preceding"
370,74,0.0000691977,0.0000107779,NULL,"Ar36","preceding"
371,75,0.00781474,0.0000870407,NULL,"Ar40","preceding"
372,75,0.0000561597,0.0000164664,NULL,"Ar39","preceding"
373,75,0.00000684146,0.00000578529,NULL,"Ar38","preceding"
374,75,0.000123609,0.00000625312,NULL,"Ar37","preceding"
375,75,0.0000691977,0.0000107779,NULL,"Ar36","preceding"
376,76,0.00781474,0.0000870407,NULL,"Ar40","preceding"
377,76,0.0000561597,0.0000164664,NULL,"Ar39","preceding"
378,76,0.00000684146,0.00000578529,NULL,"Ar38","preceding"
379,76,0.000123609,0.00000625312,NULL,"Ar37","preceding"
380,76,0.0000691977,0.0000107779,NULL,"Ar36","preceding"
381,77,0.00716098,0.0000905485,NULL,"Ar40","preceding"
382,77,0.0000205279,0.0000158432,NULL,"Ar39","preceding"
383,77,-0.00000886116,0.0000052716,NULL,"Ar38","preceding"
384,77,0.000111489,0.0000108321,NULL,"Ar37","preceding"
385,77,0.000074515,0.0000102374,NULL,"Ar36","preceding"
386,78,0.00716098,0.0000905485,NULL,"Ar40","preceding"
387,78,0.0000205279,0.0000158432,NULL,"Ar39","preceding"
388,78,-0.00000886116,0.0000052716,NULL,"Ar38","preceding"
389,78,0.000111489,0.0000108321,NULL,"Ar37","preceding"
390,78,0.000074515,0.0000102374,NULL,"Ar36","preceding"
391,79,0.00716098,0.0000905485,NULL,"Ar40","preceding"
392,79,0.0000205279,0.0000158432,NULL,"Ar39","preceding"
393,79,-0.00000886116,0.0000052716,NULL,"Ar38","preceding"
394,79,0.000111489,0.0000108321,NULL,"Ar37","preceding"
395,79,0.000074515,0.0000102374,NULL,"Ar36","preceding"
396,80,0.00716098,0.0000905485,NULL,"Ar40","preceding"
397,80,0.0000205279,0.0000158432,NULL,"Ar39","preceding"
398,80,-0.00000886116,0.0000052716,NULL,"Ar38","preceding"
399,80,0.000111489,0.0000108321,NULL,"Ar37","preceding"
400,80,0.000074515,0.0000102374,NULL,"Ar36","preceding"
401,81,0.00705724,0.000104294,NULL,"Ar40","preceding"
402,81,0.0000195079,0.0000108123,NULL,"Ar39","preceding"
403,81,0.00000280437,0.00000697812,NULL,"Ar38","preceding"
404,81,0.0000975821,0.00000920918,NULL,"Ar37","preceding"
405,81,0.0000540371,0.0000109227,NULL,"Ar36","preceding"
406,82,0.00705724,0.000104294,NULL,"Ar40","preceding"
407,82,0.0000195079,0.0000108123,NULL,"Ar39","preceding"
408,82,0.00000280437,0.00000697812,NULL,"Ar38","preceding"
409,82,0.0000975821,0.00000920918,NULL,"Ar37","preceding"
410,82,0.0000540371,0.0000109227,NULL,"Ar36","preceding"
411,83,0.00705724,0.000104294,NULL,"Ar40","preceding"
412,83,0.0000195079,0.0000108123,NULL,"Ar39","preceding"
413,83,0.00000280437,0.00000697812,NULL,"Ar38","preceding"
414,83,0.0000975821,0.00000920918,NULL,"Ar37","preceding"
415,83,0.0000540371,0.0000109227,NULL,"Ar36","preceding"
416,84,0.00705724,0.000104294,NULL,"Ar40","preceding"
417,84,0.0000195079,0.0000108123,NULL,"Ar39","preceding"
418,84,0.00000280437,0.00000697812,NULL,"Ar38","preceding"
419,84,0.0000975821,0.00000920918,NULL,"Ar37","preceding"
420,84,0.0000540371,0.0000109227,NULL,"Ar36","preceding"
421,85,0.007302,0.0000865274,NULL,"Ar40","preceding"
422,85,0.0000234174,0.0000129718,NULL,"Ar39","preceding"
423,85,0.0000183603,0.000105334,NULL,"Ar38","preceding"
424,85,0.000117033,0.0000059373,NULL,"Ar37","preceding"
425,85,0.0000383169,0.00000899577,NULL,"Ar36","preceding"
426,86,0.007302,0.0000865274,NULL,"Ar40","preceding"
427,86,0.0000234174,0.0000129718,NULL,"Ar39","preceding"
428,86,0.0000183603,0.000105334,NULL,"Ar38","preceding"
429,86,0.000117033,0.0000059373,NULL,"Ar37","preceding"
430,86,0.0000383169,0.00000899577,NULL,"Ar36","preceding"
431,87,0.007302,0.0000865274,NULL,"Ar40","preceding"
